./data_example/train_img/0.png	0.00	6940,6940,6940,6940,15,6940,6940,13,6940,6940,6940,15,6940,6940,6940,15,6940
./data_example/train_img/1.png	0.00	6940,6940,6940,6940,15,6940,6940,6940,13,6940,15,6940,6940,6940,15,6940
./data_example/train_img/2.png	180012	6940,6940,6940,6940,16,6940,6940,23,6940,6940,15,6940,6940,6940,15,6940,6940,6940,6940,16,6940,6940,17,6940,6940,6940,6940
./data_example/train_img/3.png	基金名称	6940,6940,6940,1237,6940,6940,6940,6940,6940,6940,6077,6940,6940,6940,6940,6940,818,6940,6940,6940,6940,6940,4104,6940,6940,6940,6940,6940
./data_example/train_img/4.png	0.00	6940,6940,6940,6940,15,6940,6940,6940,13,6940,6940,15,6940,6940,15,6940
./data_example/train_img/5.png	取消登记	6940,6940,779,6940,6940,6940,6940,6940,3129,6940,6940,6940,6940,6940,3816,6940,6940,6940,6940,6940,6940,5456,6940,6940,6940,6940
./data_example/train_img/6.png	181010	6940,6940,16,6940,6940,23,6940,6940,6940,16,6940,6940,15,6940,6940,6940,16,6940,6940,15,6940,6940,6940
./data_example/train_img/7.png	17.89	6940,6940,6940,16,6940,6940,6940,6940,22,6940,6940,6940,13,6940,6940,23,6940,6940,6940,6940,24,6940,6940
./data_example/train_img/8.png	1016.80	6940,6940,6940,6940,16,6940,6940,15,6940,6940,16,6940,6940,21,6940,6940,13,6940,6940,6940,23,6940,6940,15,6940
./data_example/train_img/11.png	支行	6940,6940,6940,2405,6940,6940,5315,6940,6940,6940
./data_example/train_img/12.png	申购确认	6940,6940,3684,6940,6940,6940,6940,6940,6940,5622,6940,6940,6940,6940,6940,6940,3994,6940,6940,6940,6940,6940,6940,6940,5445,6940,6940,6940,6940
./data_example/train_img/13.png	赎回确认	6940,6940,5655,6940,6940,6940,6940,6940,6940,1122,6940,6940,6940,6940,6940,6940,3994,6940,6940,6940,6940,6940,6940,5445,6940,6940,6940,6940
./data_example/train_img/14.png	业务名称	6940,6940,172,6940,6940,6940,6940,6940,6940,654,6940,6940,6940,6940,6940,818,6940,6940,6940,6940,6940,4104,6940,6940,6940
./data_example/train_img/15.png	0.00	6940,6940,6940,6940,15,6940,6940,13,6940,6940,6940,15,6940,6940,6940,15,6940,6940,6940,6940
./data_example/train_img/16.png	15.27	6940,6940,6940,16,16,6940,20,6940,6940,13,6940,6940,17,6940,6940,22,6940
./data_example/train_img/17.png	管理人手续费	6940,6940,6940,4240,6940,6940,6940,6940,6940,6940,3603,6940,6940,6940,6940,6940,6940,6940,259,6940,6940,6940,6940,6940,2118,6940,6940,6940,6940,6940,6940,4416,6940,6940,6940,6940,6940,6940,5634,6940,6940,6940,6940
./data_example/train_img/18.png	0.00	6940,6940,6940,15,6940,6940,13,6940,15,6940,6940,15,6940
./data_example/train_img/20.png	账户类	6940,6940,6940,5615,6940,6940,6940,6940,6940,2108,6940,6940,6940,6940,6940,4287,6940,6940,6940
./data_example/train_img/21.png	业务名涨	6940,6940,172,6940,6940,654,6940,6940,818,6940,6940,3147,6940
./data_example/train_img/22.png	260,100.00	6940,6940,18,21,6940,15,11,6940,16,15,6940,15,13,13,15,6940,15
./data_example/train_img/23.png	002387/工银沪港深股	6940,6940,6940,15,6940,6940,15,6940,6940,17,6940,6940,6940,18,6940,6940,23,6940,6940,6940,22,6940,14,14,6940,6940,1692,6940,6940,6940,6940,6940,6194,6940,6940,6940,6940,6940,6940,3022,6940,6940,6940,6940,6940,6940,3203,6940,6940,6940,6940,6940,6940,3177,6940,6940,6940,6940,6940,6940,4617,6940,6940,6940,6940,6940,6940
